annee,canton,technologie,puissance_mw,installations
1900,BE,Hydraulique,0.015,1
1900,GL,Hydraulique,0.11,1
1900,LU,Hydraulique,0.075,1
1900,SO,Hydraulique,0.075,1
1900,TG,Hydraulique,0.312,1
1900,ZH,Hydraulique,2.818,3
1902,AG,Hydraulique,60.2,2
1902,GR,Hydraulique,1.376,1
1902,ZG,Hydraulique,2.403,1
1903,BE,Hydraulique,0.055,1
1903,LU,Hydraulique,0.045,1
1904,VD,Hydraulique,27.37,1
1905,BE,Hydraulique,0.007,2
1905,OW,Hydraulique,33.9,1
1905,SO,Hydraulique,0.252,2
1905,UR,Hydraulique,1.28,1
1906,BE,Hydraulique,4.3,1
1906,VD,Hydraulique,26.178,2
1907,GR,Hydraulique,55.0,1
1907,SG,Hydraulique,0.016,1
1908,BE,Hydraulique,0.064,2
1908,GL,Hydraulique,60.0,1
1908,VS,Hydraulique,19.2,1
1908,ZG,Hydraulique,0.43,1
1909,VS,Hydraulique,28.0,1
1910,BE,Hydraulique,0.779,1
1910,FR,Hydraulique,16.62,1
1911,SG,Hydraulique,0.9,1
1914,AG,Hydraulique,106.0,1
1914,BE,Hydraulique,0.023,1
1914,GR,Hydraulique,7.0,1
1915,VS,Hydraulique,32.485,1
1918,GL,Hydraulique,0.168,1
1918,SZ,Hydraulique,0.017,1
1920,BE,Hydraulique,36.0,1
1920,LU,Hydraulique,0.034,1
1920,TI,Hydraulique,33.0,1
1920,ZH,Hydraulique,45.22,1
1921,FR,Hydraulique,24.375,1
1921,SG,Hydraulique,1.8,1
1922,GR,Hydraulique,44.2,1
1923,BS,Hydraulique,0.22,1
1923,VS,Hydraulique,77.75,1
1924,SZ,Hydraulique,107.4,1
1925,BE,Hydraulique,0.0088,1
1925,GE,Hydraulique,52.0,1
1925,SG,Hydraulique,0.0667,2
1926,BE,Hydraulique,0.012,1
1926,TI,Hydraulique,10.0,1
1926,VS,Hydraulique,29.92,1
1927,NW,Hydraulique,0.0185,1
1927,VD,Hydraulique,21.549,1
1929,BE,Hydraulique,0.016,1
1929,VS,Hydraulique,16.0,1
1930,AG,Hydraulique,112.0,1
1930,GL,Hydraulique,0.045,2
1931,VS,Hydraulique,24.552,2
1933,AG,Hydraulique,32.3,1
1934,TG,Hydraulique,0.246,1
1935,LU,Hydraulique,0.01,1
1937,BE,Hydraulique,0.08,2
1937,NW,Hydraulique,8.5,1
1937,SZ,Hydraulique,121.0,1
1937,VD,Hydraulique,0.07,1
1938,AG,Hydraulique,0.05,1
1939,ZH,Hydraulique,0.3,1
1940,FR,Hydraulique,0.0185,1
1940,SG,Hydraulique,0.112,2
1941,AG,Hydraulique,41.406000000000006,2
1941,GL,Hydraulique,0.245,1
1941,GR,Hydraulique,1.936,1
1941,OW,Hydraulique,1.2,1
1941,TG,Hydraulique,0.4,1
1942,BE,Hydraulique,0.18,1
1942,BL,Hydraulique,0.34,1
1942,SG,Hydraulique,0.025,1
1942,VS,Hydraulique,7.5,1
1942,ZH,Hydraulique,0.6,1
1943,AG,Hydraulique,0.47200000000000003,2
1943,BE,Hydraulique,0.03,1
1943,GE,Hydraulique,104.7,1
1943,VD,Hydraulique,4.78,1
1943,ZH,Hydraulique,0.245,1
1944,AG,Hydraulique,0.1,1
1944,BE,Hydraulique,0.09,1
1944,GL,Hydraulique,0.066,2
1944,GR,Hydraulique,6.16,1
1944,TI,Hydraulique,50.125,1
1945,BE,Hydraulique,0.02,1
1945,GE,Hydraulique,0.33,1
1945,LU,Hydraulique,0.3,1
1945,NW,Hydraulique,6.7,1
1946,BL,Hydraulique,0.88,1
1947,BE,Hydraulique,0.41,1
1947,BL,Hydraulique,0.44,1
1947,GL,Hydraulique,0.583,1
1948,BE,Hydraulique,0.05,1
1948,FR,Hydraulique,71.9,1
1948,SG,Hydraulique,0.035,1
1948,UR,Hydraulique,53.75,1
1949,AG,Hydraulique,42.6,1
1949,BL,Hydraulique,0.455,1
1949,GL,Hydraulique,18.2,1
1949,GR,Hydraulique,108.0,2
1949,SZ,Hydraulique,0.36,1
1949,TG,Hydraulique,0.5,2
1950,BE,Hydraulique,0.98,1
1950,SG,Hydraulique,0.211,3
1950,VD,Hydraulique,86.4,1
1950,VS,Hydraulique,35.3,1
1950,ZH,Hydraulique,0.04,1
1951,GR,Hydraulique,21.6,1
1951,SH,Hydraulique,5.16,1
1952,AG,Hydraulique,44.1,1
1952,VS,Hydraulique,55.9,1
1953,VS,Hydraulique,70.418,1
1954,AI,Hydraulique,2.48,1
1954,BL,Hydraulique,90.0,1
1954,VD,Hydraulique,26.4,1
1954,VS,Hydraulique,32.176,1
1955,UR,Hydraulique,12.5,1
1955,VD,Hydraulique,1.8,1
1956,AG,Hydraulique,0.16,1
1956,GR,Hydraulique,70.0,1
1956,SZ,Hydraulique,0.3,1
1956,ZH,Hydraulique,42.5,1
1957,BE,Hydraulique,0.05,1
1957,FR,Hydraulique,2.5,1
1957,GR,Hydraulique,234.194,3
1957,NW,Hydraulique,1.558,1
