glacier,glacier_id,annee,bilan_hiver,bilan_ete,bilan_annuel,ligne_equilibre,surface_km2,bilan_cumule
Adlergletscher,B56-14,2006,472,-989,-517,3515,2.04188,-517
Adlergletscher,B56-14,2007,328,-457,-129,3405,2.04188,-646
Adlergletscher,B56-14,2008,436,-878,-442,3475,2.0325,-1088
Adlergletscher,B56-14,2009,1240,-1452,-212,3415,2.02688,-1300
Adlergletscher,B56-14,2010,496,-922,-426,3475,2.0175,-1726
Adlergletscher,B56-14,2011,649,-1180,-531,3465,2.02188,-2257
Adlergletscher,B56-14,2012,935,-1711,-776,3535,2.01313,-3033
Adlergletscher,B56-14,2013,975,-849,126,3385,2.01063,-2907
Adlergletscher,B56-14,2014,1098,-855,243,3365,2.01063,-2664
Adlergletscher,B56-14,2015,1004,-1370,-366,3525,2.01063,-3030
Adlergletscher,B56-14,2016,700,-1298,-598,3525,1.98937,-3628
Adlergletscher,B56-14,2017,717,-1663,-946,3615,1.97938,-4574
Adlergletscher,B56-14,2018,1332,-1803,-471,3475,1.97938,-5045
Adlergletscher,B56-14,2019,1027,-1930,-903,3695,1.97938,-5948
Adlergletscher,B56-14,2020,1023,-1577,-554,3495,1.97938,-6502
Adlergletscher,B56-14,2021,998,-1356,-358,3475,1.97938,-6860
Adlergletscher,B56-14,2022,360,-3380,-3020,4187,1.97938,-9880
Adlergletscher,B56-14,2023,492,-2504,-2012,4100,1.97938,-11892
Adlergletscher,B56-14,2024,1171,-2053,-882,3685,1.95625,-12774
Allalingletscher,B52-29,1956,1012,-779,233,3145,9.97312,233
Allalingletscher,B52-29,1957,1012,-679,333,3085,10.0225,566
Allalingletscher,B52-29,1958,1190,-1559,-369,3345,10.02063,197
Allalingletscher,B52-29,1959,1172,-1097,75,3165,10.0175,272
Allalingletscher,B52-29,1960,1162,-579,583,3065,10.01313,855
Allalingletscher,B52-29,1961,1410,-1705,-295,3345,10.01188,560
Allalingletscher,B52-29,1962,1063,-725,338,3075,10.00938,898
Allalingletscher,B52-29,1963,1168,-1035,133,3165,10.0075,1031
Allalingletscher,B52-29,1964,1091,-687,404,3075,10.00375,1435
Allalingletscher,B52-29,1965,906,-684,222,3155,10.00313,1657
Allalingletscher,B52-29,1966,1146,-1128,18,3265,10.00125,1675
Allalingletscher,B52-29,1967,1076,-726,350,3085,9.99437,2025
Allalingletscher,B52-29,1968,575,-396,179,3135,9.96937,2204
Allalingletscher,B52-29,1969,1381,-835,546,3005,9.97625,2750
Allalingletscher,B52-29,1970,794,-931,-137,3305,9.98687,2613
Allalingletscher,B52-29,1971,771,-892,-121,3265,9.99875,2492
Allalingletscher,B52-29,1972,988,-685,303,3085,10.01062,2795
Allalingletscher,B52-29,1973,824,-1094,-270,3315,10.02812,2525
Allalingletscher,B52-29,1974,1196,-695,501,3005,10.04938,3026
Allalingletscher,B52-29,1975,969,-1211,-242,3325,10.0675,2784
Allalingletscher,B52-29,1976,924,-888,36,3165,10.0925,2820
Allalingletscher,B52-29,1977,2153,-423,1730,2425,10.11625,4550
Allalingletscher,B52-29,1978,1807,-639,1168,2785,10.14625,5718
Allalingletscher,B52-29,1979,808,-1079,-271,3325,10.17563,5447
Allalingletscher,B52-29,1980,1526,-950,576,3005,10.20563,6023
Allalingletscher,B52-29,1981,1043,-752,291,3095,10.23375,6314
Allalingletscher,B52-29,1982,1116,-1989,-873,3435,10.35938,5441
