station,annee,temp_moy,temp_anomalie,temp_max_moy,temp_min_moy,temp_max_abs,temp_min_abs,jours_ete,jours_chaleur,jours_canicule,nuits_tropicales,jours_gel,jours_hiver,precip,precip_pct_norme,ensoleillement,ensoleillement_pct_norme
ALT,1864,7.5,-2.7,,,,,,,,,,,975.8,82.0,,
ALT,1865,8.9,-1.3,,,,,,,,,,,875.9,74.0,,
ALT,1866,9.0,-1.2,,,,,,,,,,,1308.4,110.0,,
ALT,1867,8.6,-1.6,,,,,,,,,,,1279.3,108.0,,
ALT,1868,9.2,-1.0,,,,,,,,,,,1254.7,106.0,,
ALT,1869,8.6,-1.6,,,,,,,,,,,1182.7,100.0,,
ALT,1870,8.0,-2.2,,,,,,,,,,,1042.6,88.0,,
ALT,1871,7.3,-2.9,,,,,,,,,,,995.8,84.0,,
ALT,1872,9.5,-0.7,,,,,,,,,,,1370.3,116.0,,
ALT,1873,8.8,-1.4,,,,,,,,,,,1132.7,96.0,,
ALT,1874,8.2,-2.0,,,,,,,,,,,1252.4,106.0,,
ALT,1875,8.2,-2.0,,,,,,,,,,,1163.9,98.0,,
ALT,1876,8.7,-1.5,,,,,,,,,,,1297.3,109.0,,
ALT,1877,8.8,-1.4,,,,,,,,,,,1338.6,113.0,,
ALT,1878,8.0,-2.2,,,,,,,,,,,1288.7,109.0,,
ALT,1879,7.4,-2.8,,,,,,,,,,,1234.5,104.0,,
ALT,1880,8.6,-1.6,,,,,,,,,,,1126.6,95.0,,
ALT,1881,8.3,-1.9,,,,,,,,,,,1132.2,95.0,,
ALT,1882,8.2,-2.0,,,,,,,,,,,1425.4,120.0,,
ALT,1883,8.1,-2.1,,,,,,,,,,,1005.2,85.0,,
ALT,1884,8.7,-1.5,,,,,,,,,,,868.6,73.0,,
ALT,1885,8.5,-1.7,,,,,,,,,,,1130.5,95.0,,
ALT,1886,8.6,-1.6,,,,,,,,,,,1229.6,104.0,,
ALT,1887,7.3,-2.9,,,,,,,,,,,1005.9,85.0,,
ALT,1888,7.8,-2.4,,,,,,,,,,,1176.2,99.0,,
ALT,1889,7.4,-2.8,,,,,,,,,,,1183.6,100.0,,
ALT,1890,7.6,-2.6,,,,,,,,,,,1114.2,94.0,,
ALT,1891,7.5,-2.7,,,,,,,,,,,1297.0,109.0,,
ALT,1892,8.4,-1.8,,,,,,,,,,,1168.8,99.0,,
ALT,1893,8.6,-1.6,,,,,,,,,,,1003.9,85.0,,
ALT,1894,8.3,-1.9,,,,,,,,,,,962.0,81.0,,
ALT,1895,8.3,-1.9,,,,,,,,,,,962.9,81.0,,
ALT,1896,7.7,-2.5,,,,,,,,,,,1411.2,119.0,,
ALT,1897,8.8,-1.4,,,,,,,,,,,1224.5,103.0,,
ALT,1898,8.7,-1.5,,,,,,,,,,,1283.2,108.0,,
ALT,1899,8.9,-1.3,,,,,,,,,,,1002.7,85.0,,
ALT,1900,9.0,-1.2,,,,,,,,,,,1179.3,99.0,,
ALT,1901,8.2,-2.0,,,,,,,,,,,1241.4,105.0,,
ALT,1902,8.3,-1.9,,,,,,,,,,,1016.8,86.0,,
ALT,1903,8.6,-1.6,,,,,,,,,,,992.5,84.0,,
ALT,1904,9.1,-1.1,,,,,,,,,,,951.6,80.0,,
ALT,1905,8.3,-1.9,,,,,,,,,,,1207.5,102.0,,
ALT,1906,8.3,-1.9,,,,,,,,,,,1057.3,89.0,,
ALT,1907,8.5,-1.7,,,,,,,,,,,1108.8,93.0,,
ALT,1908,8.0,-2.2,,,,,,,,,,,987.3,83.0,,
ALT,1909,7.8,-2.4,,3.1,,,,,,,,,1077.7,91.0,,
ALT,1910,8.6,-1.6,,3.7,,,,,,,,,1356.9,114.0,,
ALT,1911,9.3,-0.9,,4.0,,,,,,,,,963.9,81.0,,
ALT,1912,8.5,-1.7,,3.7,,,,,,,,,1212.5,102.0,,
ALT,1913,8.9,-1.3,,3.9,,,,,,,,,1191.6,100.0,,
ALT,1914,8.4,-1.8,,3.5,,,,,,,,,1358.8,115.0,,
ALT,1915,8.4,-1.8,,3.7,,,,,,,,,1088.9,92.0,,
ALT,1916,9.0,-1.2,,4.0,,,,,,,,,1269.6,107.0,,
ALT,1917,7.9,-2.3,,3.1,,,,,,,,,1129.0,95.0,,
ALT,1918,8.7,-1.5,,3.7,,,,,,,,,1233.0,104.0,,
ALT,1919,8.0,-2.2,,3.1,,,,,,,,,1031.1,87.0,,
ALT,1920,9.4,-0.8,,4.6,,,,,,,,,661.8,56.0,,
ALT,1921,9.4,-0.8,,4.4,,,,,,,,,776.1,65.0,,
ALT,1922,8.1,-2.1,,3.3,,,,,,,,,1474.2,124.0,,
ALT,1923,9.0,-1.2,,4.1,,,,,,,,,1129.2,95.0,,
ALT,1924,8.2,-2.0,,3.4,,,,,,,,,1097.1,93.0,,
ALT,1925,8.6,-1.6,,3.7,,,,,,,,,1006.0,85.0,,
ALT,1926,9.5,-0.7,,4.4,,,,,,,,,1171.1,99.0,,
ALT,1927,9.0,-1.2,,4.1,,,,,,,,,1236.4,104.0,,
ALT,1928,9.4,-0.8,,4.3,,,,,,,,,1315.1,111.0,,
ALT,1929,8.5,-1.7,,3.4,,,,,,,,,943.0,80.0,,
ALT,1930,9.8,-0.4,,4.7,,,,,,,,,1187.2,100.0,,
ALT,1931,8.1,-2.1,,3.3,,,,,,,,,1087.4,92.0,,
ALT,1932,8.6,-1.6,,3.8,,,,,,,,,1000.4,84.0,,
ALT,1933,8.3,-1.9,,3.5,,,,,,,,,1161.8,98.0,,
ALT,1934,9.5,-0.7,,4.4,,,,,,,,,971.7,82.0,,
ALT,1935,8.9,-1.3,,3.9,,,,,,,,,1469.4,124.0,,
ALT,1936,9.2,-1.0,,4.4,,,,,,,,,1089.5,92.0,,
ALT,1937,9.3,-0.9,,4.7,,,,,,,,,1200.7,101.0,,
ALT,1938,8.6,-1.6,,3.7,,,,,,,,,967.7,82.0,,
ALT,1939,8.6,-1.6,,4.1,,,,,,,,,1328.0,112.0,,
ALT,1940,7.7,-2.5,,3.1,,,,,,,,,1299.0,110.0,,
ALT,1941,8.3,-1.9,,3.4,,,,,,,,,971.6,82.0,,
ALT,1942,8.8,-1.4,,3.9,,,,,,,,,951.2,80.0,,
ALT,1943,9.8,-0.4,,4.8,,,,,,,,,837.9,71.0,,
ALT,1944,8.5,-1.7,,3.8,,,,,,,,,1162.0,98.0,,
ALT,1945,9.1,-1.1,,4.2,,,,,,,,,1303.8,110.0,,
ALT,1946,9.3,-0.9,,4.5,,,,,,,,,958.0,81.0,,
ALT,1947,10.0,-0.2,,4.9,,,,,,,,,1024.6,86.0,,
ALT,1948,9.6,-0.6,,4.6,,,,,,,,,985.4,83.0,,
ALT,1949,9.6,-0.6,,4.6,,,,,,,,,889.5,75.0,,
ALT,1950,9.6,-0.6,,4.8,,,,,,,,,1163.4,98.0,,
ALT,1951,9.4,-0.8,,4.8,,,,,,,,,1240.1,105.0,,
ALT,1952,9.1,-1.1,,4.4,,,,,,,,,1238.8,104.0,,
ALT,1953,9.1,-1.1,13.8,4.4,,,,,,,,,892.7,75.0,,
ALT,1954,8.4,-1.8,12.9,4.0,,,,,,,,,1351.8,114.0,,
ALT,1955,8.6,-1.6,13.0,4.3,,,,,,,,,1132.7,96.0,,
ALT,1956,7.6,-2.6,12.1,3.2,,,,,,,,,1158.0,98.0,,
ALT,1957,8.9,-1.3,13.4,4.5,,,,,,,,,1025.0,86.0,,
ALT,1958,8.9,-1.3,13.1,4.6,,,,,,,,,1288.7,109.0,,
ALT,1959,9.8,-0.4,14.1,4.9,29.5,-8.6,26.0,0.0,,0.0,93.0,6.0,934.6,79.0,1411.5166666666667,103.0
ALT,1960,9.5,-0.7,13.7,4.8,29.3,-15.2,15.0,0.0,,0.0,76.0,11.0,1237.9,104.0,1276.0666666666666,93.0
ALT,1961,9.9,-0.3,14.3,5.4,30.3,-10.6,23.0,1.0,,0.0,88.0,13.0,1049.0,88.0,1450.4166666666667,105.0
ALT,1962,8.5,-1.7,12.6,3.8,31.3,-14.1,31.0,1.0,,0.0,115.0,19.0,978.3,82.0,1410.0,102.0
ALT,1963,8.1,-2.1,12.3,3.5,30.1,-19.8,19.0,1.0,,0.0,101.0,51.0,951.3,80.0,1297.0833333333333,94.0
ALT,1964,9.1,-1.1,13.0,4.7,31.4,-10.8,38.0,3.0,,1.0,95.0,27.0,964.3,81.0,1296.1833333333334,94.0
ALT,1965,8.2,-2.0,12.4,3.7,31.6,-13.0,15.0,1.0,,0.0,100.0,13.0,1390.6,117.0,1135.25,82.0
ALT,1966,9.4,-0.8,13.7,4.8,28.8,-16.3,19.0,0.0,,1.0,91.0,10.0,1159.5,98.0,1251.8833333333334,91.0
ALT,1967,9.1,-1.1,13.6,4.3,31.5,-14.7,31.0,1.0,,0.0,96.0,18.0,1029.4,87.0,1379.05,100.0
ALT,1968,8.7,-1.5,12.9,4.1,29.2,-13.8,16.0,0.0,,0.0,105.0,13.0,1281.9,108.0,1283.2166666666667,93.0
ALT,1969,8.5,-1.7,12.8,3.9,30.6,-11.5,26.0,1.0,,0.0,108.0,30.0,1062.3,90.0,1294.7666666666667,94.0
ALT,1970,8.5,-1.7,12.6,4.0,29.1,-11.7,22.0,0.0,0.0,0.0,105.0,16.0,1287.0,109.0,1231.8833333333334,90.0
ALT,1971,8.6,-1.6,13.1,4.0,35.2,-15.9,30.0,2.0,1.0,0.0,115.0,28.0,869.7,73.0,1439.7666666666667,105.0
ALT,1972,8.6,-1.6,12.8,4.1,32.7,-7.6,17.0,3.0,0.0,0.0,87.0,13.0,960.2,81.0,1171.05,85.0
ALT,1973,8.5,-1.7,12.7,4.1,31.1,-15.8,29.0,1.0,0.0,0.0,138.0,13.0,1002.8,85.0,1233.6666666666667,90.0
ALT,1974,9.3,-0.9,13.6,4.7,29.5,-6.9,21.0,0.0,0.0,0.0,83.0,0.0,1108.7,93.0,1227.9333333333334,89.0
ALT,1975,9.0,-1.2,13.2,4.6,31.9,-7.1,31.0,2.0,0.0,1.0,104.0,12.0,1114.2,94.0,1299.7333333333333,94.0
ALT,1976,9.1,-1.1,13.5,4.5,29.8,-12.1,35.0,0.0,0.0,0.0,112.0,16.0,1037.0,87.0,1373.9666666666667,100.0
ALT,1977,9.2,-1.0,13.6,4.9,32.0,-8.9,12.0,1.0,0.0,0.0,83.0,8.0,1163.2,98.0,1131.2,82.0
ALT,1978,8.4,-1.8,12.9,4.0,28.8,-9.6,18.0,0.0,0.0,0.0,107.0,12.0,1118.1,94.0,1118.6,81.0
ALT,1979,8.8,-1.4,13.4,4.6,29.7,-13.2,24.0,0.0,0.0,0.0,94.0,9.0,1256.6,106.0,1190.6833333333334,87.0
ALT,1980,8.0,-2.2,12.2,4.1,30.4,-12.8,15.0,1.0,0.0,1.0,103.0,23.0,1047.8,88.0,1104.9666666666667,80.0
ALT,1981,8.7,-1.5,13.1,4.2,28.6,-13.0,31.0,0.0,0.0,1.0,100.0,17.0,1387.2,117.0,1160.9,84.0
ALT,1982,9.5,-0.7,14.2,5.0,30.3,-9.8,34.0,1.0,0.0,0.0,86.0,8.0,991.1,84.0,1298.2833333333333,94.0
ALT,1983,9.6,-0.6,14.1,4.8,33.6,-8.9,50.0,9.0,0.0,1.0,93.0,17.0,1059.9,89.0,1253.5,91.0
ALT,1984,8.8,-1.4,13.2,4.1,34.5,-9.4,18.0,4.0,0.0,1.0,111.0,8.0,1077.1,91.0,1241.6333333333334,90.0
ALT,1985,8.6,-1.6,13.2,4.0,32.6,-19.6,30.0,5.0,0.0,0.0,110.0,32.0,944.4,80.0,1302.15,95.0
ALT,1986,8.9,-1.3,13.4,4.4,33.7,-12.9,43.0,2.0,0.0,0.0,108.0,19.0,1193.4,101.0,1328.4666666666667,97.0
ALT,1987,8.7,-1.5,12.9,4.5,29.4,-17.8,29.0,0.0,0.0,0.0,100.0,28.0,1299.4,110.0,1092.2,79.0
ALT,1988,9.8,-0.4,14.3,5.3,31.0,-9.7,30.0,2.0,0.0,0.0,87.0,4.0,1201.3,101.0,1204.9666666666667,88.0
ALT,1989,9.5,-0.7,14.2,4.9,32.2,-7.3,29.0,1.0,0.0,0.0,81.0,9.0,986.7,83.0,1373.6,100.0
