station,annee,mois,temp_moy,temp_anomalie,precip
ALT,1864,1,-4.5,-6.1,40.8
ALT,1864,2,-0.4,-2.8,38.0
ALT,1864,3,5.4,-0.7,31.6
ALT,1864,4,7.2,-2.7,155.1
ALT,1864,5,12.6,-1.4,103.9
ALT,1864,6,14.4,-2.9,176.8
ALT,1864,7,16.6,-2.3,175.1
ALT,1864,8,15.1,-3.4,77.0
ALT,1864,9,12.6,-2.1,71.6
ALT,1864,10,8.7,-2.0,27.1
ALT,1864,11,3.9,-1.8,72.9
ALT,1864,12,-1.7,-4.0,5.9
ALT,1865,1,1.0,-0.6,53.0
ALT,1865,2,-1.1,-3.5,25.7
ALT,1865,3,-0.6,-6.7,69.2
ALT,1865,4,12.4,2.5,1.0
ALT,1865,5,16.3,2.3,57.0
ALT,1865,6,16.0,-1.3,75.3
ALT,1865,7,18.5,-0.4,220.7
ALT,1865,8,15.3,-3.2,197.5
ALT,1865,9,14.9,0.2,1.8
ALT,1865,10,9.7,-1.0,95.4
ALT,1865,11,5.5,-0.2,74.5
ALT,1865,12,-1.3,-3.6,4.8
ALT,1866,1,2.1,0.5,62.3
ALT,1866,2,4.4,2.0,109.4
ALT,1866,3,5.0,-1.1,115.9
ALT,1866,4,9.7,-0.2,97.3
ALT,1866,5,10.6,-3.4,85.4
ALT,1866,6,17.2,-0.1,59.3
ALT,1866,7,17.1,-1.8,128.5
ALT,1866,8,14.5,-4.0,241.7
ALT,1866,9,14.4,-0.3,103.4
ALT,1866,10,8.5,-2.2,3.5
ALT,1866,11,3.2,-2.5,204.8
ALT,1866,12,1.6,-0.7,96.9
ALT,1867,1,0.1,-1.5,143.1
ALT,1867,2,5.7,3.3,85.7
ALT,1867,3,5.1,-1.0,105.8
ALT,1867,4,8.8,-1.1,160.7
ALT,1867,5,13.1,-0.9,95.1
ALT,1867,6,15.5,-1.8,133.1
ALT,1867,7,16.2,-2.7,46.7
ALT,1867,8,17.1,-1.4,74.5
ALT,1867,9,14.3,-0.4,62.7
ALT,1867,10,6.8,-3.9,192.0
ALT,1867,11,2.6,-3.1,17.7
ALT,1867,12,-1.7,-4.0,162.2
ALT,1868,1,-2.1,-3.7,59.0
ALT,1868,2,2.3,-0.1,20.2
ALT,1868,3,2.8,-3.3,217.6
ALT,1868,4,7.5,-2.4,99.5
ALT,1868,5,17.0,3.0,35.3
ALT,1868,6,16.8,-0.5,116.5
ALT,1868,7,17.1,-1.8,158.8
ALT,1868,8,17.2,-1.3,62.2
ALT,1868,9,15.6,0.9,100.1
ALT,1868,10,8.7,-2.0,200.7
ALT,1868,11,1.8,-3.9,32.7
ALT,1868,12,5.6,3.3,152.1
ALT,1869,1,0.0,-1.6,40.6
ALT,1869,2,5.8,3.4,30.4
ALT,1869,3,1.2,-4.9,115.9
ALT,1869,4,9.6,-0.3,113.8
ALT,1869,5,14.7,0.7,97.0
ALT,1869,6,13.4,-3.9,139.7
ALT,1869,7,19.4,0.5,125.1
ALT,1869,8,14.9,-3.6,202.1
ALT,1869,9,14.2,-0.5,51.8
ALT,1869,10,6.3,-4.4,75.2
ALT,1869,11,3.9,-1.8,106.3
ALT,1869,12,-0.1,-2.4,84.8
ALT,1870,1,-0.9,-2.5,20.7
ALT,1870,2,-0.2,-2.6,16.3
ALT,1870,3,2.4,-3.7,56.6
ALT,1870,4,8.0,-1.9,50.4
ALT,1870,5,14.2,0.2,30.3
ALT,1870,6,16.4,-0.9,74.0
ALT,1870,7,18.9,0.0,57.8
ALT,1870,8,14.5,-4.0,180.4
ALT,1870,9,12.0,-2.7,87.0
ALT,1870,10,7.8,-2.9,247.2
ALT,1870,11,5.1,-0.6,150.4
ALT,1870,12,-2.5,-4.8,71.5
ALT,1871,1,-3.5,-5.1,38.5
ALT,1871,2,1.3,-1.1,68.2
ALT,1871,3,5.1,-1.0,38.8
ALT,1871,4,8.7,-1.2,162.6
ALT,1871,5,11.9,-2.1,85.5
ALT,1871,6,12.8,-4.5,196.3
ALT,1871,7,17.9,-1.0,80.9
ALT,1871,8,16.5,-2.0,139.2
ALT,1871,9,15.4,0.7,21.2
ALT,1871,10,6.5,-4.2,113.1
ALT,1871,11,1.8,-3.9,45.3
ALT,1871,12,-6.6,-8.9,6.2
ALT,1872,1,1.6,0.0,25.0
ALT,1872,2,1.2,-1.2,52.2
ALT,1872,3,5.8,-0.3,73.4
ALT,1872,4,9.3,-0.6,130.7
ALT,1872,5,12.0,-2.0,206.7
ALT,1872,6,14.8,-2.5,146.7
ALT,1872,7,17.6,-1.3,140.9
ALT,1872,8,14.8,-3.7,179.9
ALT,1872,9,13.8,-0.9,48.3
ALT,1872,10,11.1,0.4,210.0
ALT,1872,11,6.8,1.1,53.6
ALT,1872,12,4.7,2.4,102.9
ALT,1873,1,1.7,0.1,17.3
ALT,1873,2,0.8,-1.6,19.5
ALT,1873,3,6.9,0.8,46.3
ALT,1873,4,7.1,-2.8,103.8
ALT,1873,5,10.3,-3.7,118.3
ALT,1873,6,16.2,-1.1,58.1
ALT,1873,7,18.9,0.0,188.4
ALT,1873,8,17.8,-0.7,165.2
ALT,1873,9,12.9,-1.8,121.0
ALT,1873,10,9.0,-1.7,184.9
ALT,1873,11,4.7,-1.0,64.8
ALT,1873,12,-1.1,-3.4,45.1
ALT,1874,1,-0.2,-1.8,11.5
ALT,1874,2,0.7,-1.7,23.5
ALT,1874,3,3.4,-2.7,36.2
ALT,1874,4,9.9,0.0,90.1
ALT,1874,5,9.4,-4.6,92.8
ALT,1874,6,16.4,-0.9,171.1
ALT,1874,7,19.3,0.4,250.1
ALT,1874,8,15.7,-2.8,179.6
ALT,1874,9,15.7,1.0,43.1
ALT,1874,10,9.1,-1.6,57.1
ALT,1874,11,0.6,-5.1,234.4
ALT,1874,12,-1.3,-3.6,62.9
ALT,1875,1,1.1,-0.5,102.7
ALT,1875,2,-1.9,-4.3,40.6
ALT,1875,3,2.4,-3.7,40.5
ALT,1875,4,8.5,-1.4,31.9
ALT,1875,5,14.2,0.2,77.3
ALT,1875,6,16.9,-0.4,110.7
ALT,1875,7,16.4,-2.5,163.0
ALT,1875,8,17.7,-0.8,142.8
ALT,1875,9,14.8,0.1,149.7
ALT,1875,10,7.8,-2.9,174.3
ALT,1875,11,2.9,-2.8,110.2
ALT,1875,12,-2.5,-4.8,20.2
ALT,1876,1,-1.1,-2.7,47.3
ALT,1876,2,1.3,-1.1,137.9
ALT,1876,3,4.7,-1.4,151.8
ALT,1876,4,8.9,-1.0,102.3
ALT,1876,5,9.5,-4.5,98.8
ALT,1876,6,15.6,-1.7,223.9
ALT,1876,7,17.7,-1.2,99.5
ALT,1876,8,17.4,-1.1,140.0
ALT,1876,9,12.3,-2.4,147.8
ALT,1876,10,11.2,0.5,18.4
ALT,1876,11,2.6,-3.1,75.9
ALT,1876,12,3.8,1.5,53.7
ALT,1877,1,3.9,2.3,69.6
ALT,1877,2,2.9,0.5,172.9
ALT,1877,3,3.2,-2.9,74.3
ALT,1877,4,8.0,-1.9,81.3
ALT,1877,5,10.5,-3.5,99.8
ALT,1877,6,18.6,1.3,118.8
ALT,1877,7,16.9,-2.0,251.6
ALT,1877,8,18.1,-0.4,130.6
ALT,1877,9,11.9,-2.8,42.2
ALT,1877,10,6.4,-4.3,75.0
ALT,1877,11,4.9,-0.8,114.4
ALT,1877,12,0.2,-2.1,108.1
ALT,1878,1,-2.3,-3.9,56.6
ALT,1878,2,0.0,-2.4,16.2
ALT,1878,3,2.8,-3.3,152.2
ALT,1878,4,8.5,-1.4,90.8
ALT,1878,5,13.8,-0.2,93.0
ALT,1878,6,15.5,-1.8,151.2
ALT,1878,7,16.3,-2.6,204.3
ALT,1878,8,16.7,-1.8,140.2
ALT,1878,9,13.2,-1.5,116.1
ALT,1878,10,10.1,-0.6,102.5
ALT,1878,11,3.6,-2.1,98.3
ALT,1878,12,-1.9,-4.2,67.3
ALT,1879,1,0.6,-1.0,42.1
ALT,1879,2,2.4,0.0,64.6
ALT,1879,3,5.2,-0.9,31.1
ALT,1879,4,7.1,-2.8,128.2
ALT,1879,5,9.0,-5.0,122.2
ALT,1879,6,16.0,-1.3,125.1
ALT,1879,7,14.6,-4.3,197.0
ALT,1879,8,18.3,-0.2,137.3
ALT,1879,9,13.3,-1.4,145.4
ALT,1879,10,7.0,-3.7,92.5
ALT,1879,11,1.2,-4.5,117.5
ALT,1879,12,-5.8,-8.1,31.5
ALT,1880,1,-3.9,-5.5,20.3
ALT,1880,2,1.0,-1.4,24.5
ALT,1880,3,6.0,-0.1,48.0
ALT,1880,4,9.1,-0.8,98.9
ALT,1880,5,11.3,-2.7,36.1
ALT,1880,6,14.2,-3.1,151.4
ALT,1880,7,18.0,-0.9,146.2
ALT,1880,8,15.6,-2.9,141.9
ALT,1880,9,13.9,-0.8,119.9
ALT,1880,10,9.5,-1.2,192.3
ALT,1880,11,4.8,-0.9,44.2
ALT,1880,12,3.9,1.6,102.9
ALT,1881,1,-1.4,-3.0,26.2
ALT,1881,2,2.0,-0.4,52.0
ALT,1881,3,5.7,-0.4,63.5
ALT,1881,4,7.6,-2.3,92.0
ALT,1881,5,11.8,-2.2,66.3
ALT,1881,6,15.0,-2.3,136.7
ALT,1881,7,19.5,0.6,120.5
ALT,1881,8,17.2,-1.3,214.2
ALT,1881,9,11.9,-2.8,197.0
ALT,1881,10,6.1,-4.6,91.2
ALT,1881,11,4.8,-0.9,22.7
ALT,1881,12,-0.1,-2.4,49.9
ALT,1882,1,-0.7,-2.3,20.3
ALT,1882,2,0.5,-1.9,21.3
ALT,1882,3,5.9,-0.2,42.4
ALT,1882,4,8.2,-1.7,69.1
ALT,1882,5,12.9,-1.1,81.5
ALT,1882,6,14.3,-3.0,172.4
ALT,1882,7,15.6,-3.3,155.5
ALT,1882,8,14.7,-3.8,129.7
ALT,1882,9,11.5,-3.2,284.8
ALT,1882,10,9.5,-1.2,163.8
ALT,1882,11,4.5,-1.2,108.4
ALT,1882,12,1.7,-0.6,176.2
ALT,1883,1,2.2,0.6,42.6
ALT,1883,2,3.8,1.4,20.2
ALT,1883,3,1.1,-5.0,36.3
ALT,1883,4,8.1,-1.8,31.3
ALT,1883,5,12.5,-1.5,129.9
ALT,1883,6,14.8,-2.5,120.4
ALT,1883,7,15.8,-3.1,141.2
ALT,1883,8,15.8,-2.7,72.0
ALT,1883,9,12.9,-1.8,94.9
ALT,1883,10,7.3,-3.4,92.3
ALT,1883,11,3.9,-1.8,83.4
ALT,1883,12,-0.8,-3.1,140.7
ALT,1884,1,1.5,-0.1,29.3
ALT,1884,2,3.5,1.1,22.8
ALT,1884,3,6.4,0.3,18.2
ALT,1884,4,8.0,-1.9,61.8
ALT,1884,5,13.8,-0.2,65.9
ALT,1884,6,12.5,-4.8,146.5
ALT,1884,7,17.9,-1.0,132.2
ALT,1884,8,16.9,-1.6,134.6
ALT,1884,9,13.9,-0.8,86.7
ALT,1884,10,7.7,-3.0,68.2
ALT,1884,11,1.9,-3.8,29.8
ALT,1884,12,0.9,-1.4,72.6
ALT,1885,1,-2.0,-3.6,6.8
ALT,1885,2,5.1,2.7,43.3
ALT,1885,3,4.4,-1.7,26.4
ALT,1885,4,9.6,-0.3,46.0
ALT,1885,5,10.0,-4.0,141.8
ALT,1885,6,17.4,0.1,46.3
ALT,1885,7,18.4,-0.5,94.8
ALT,1885,8,16.5,-2.0,143.4
ALT,1885,9,12.8,-1.9,176.2
ALT,1885,10,7.2,-3.5,208.3
ALT,1885,11,3.9,-1.8,97.6
ALT,1885,12,-0.8,-3.1,99.6
ALT,1886,1,-0.4,-2.0,46.3
ALT,1886,2,-1.5,-3.9,48.3
ALT,1886,3,3.1,-3.0,30.4
ALT,1886,4,9.9,0.0,95.1
ALT,1886,5,13.4,-0.6,104.1
ALT,1886,6,13.8,-3.5,204.5
ALT,1886,7,17.7,-1.2,148.6
ALT,1886,8,16.4,-2.1,179.2
ALT,1886,9,15.4,0.7,49.7
ALT,1886,10,9.9,-0.8,85.0
ALT,1886,11,4.2,-1.5,137.8
ALT,1886,12,1.5,-0.8,100.6
ALT,1887,1,-2.8,-4.4,11.3
ALT,1887,2,-0.8,-3.2,10.7
ALT,1887,3,1.3,-4.8,94.2
ALT,1887,4,7.9,-2.0,46.9
ALT,1887,5,9.9,-4.1,160.6
ALT,1887,6,16.5,-0.8,79.9
ALT,1887,7,18.5,-0.4,121.3
ALT,1887,8,16.5,-2.0,132.2
ALT,1887,9,12.5,-2.2,102.0
ALT,1887,10,5.0,-5.7,88.7
ALT,1887,11,4.0,-1.7,25.3
ALT,1887,12,-0.7,-3.0,132.8
