station,nom,canton,altitude,lat,lon,depuis
ALT,Altdorf,UR,438.0,46.887069,8.621894,1864
ANT,Andermatt,UR,1435.0,46.630914,8.580553,1864
BAS,Basel / Binningen,BL,316.0,47.541142,7.583525,1755
BER,Bern / Zollikofen,BE,553.0,46.990744,7.464061,1864
CDF,La Chaux-de-Fonds,NE,1017.0,47.082947,6.792314,1900
CHD,Château-d'Oex,VD,1028.0,46.479819,7.139656,1879
CHM,Chaumont,NE,1136.0,47.049169,6.978825,1864
DAV,Davos,GR,1594.0,46.812969,9.843558,1864
ELM,Elm,GL,958.0,46.923742,9.175347,1878
ENG,Engelberg,OW,1036.0,46.821639,8.410514,1864
GRC,Grächen,VS,1605.0,46.195314,7.836822,1863
GRH,Grimsel Hospiz,BE,1980.0,46.571689,8.333256,1868
GSB,Col du Grand St-Bernard,VS,2472.0,45.869092,7.170683,1818
GVE,Genève / Cointrin,GE,411.0,46.247519,6.127742,1753
JUN,Jungfraujoch,VS,3571.0,46.547556,7.985444,1931
LUG,Lugano,TI,273.0,46.004217,8.960322,1864
LUZ,Luzern,LU,454.0,47.036439,8.301022,1864
MER,Meiringen,BE,589.0,46.732222,8.169247,1889
NEU,Neuchâtel,NE,485.0,47.000067,6.953297,1864
OTL,Locarno / Monti,TI,367.0,46.172256,8.787494,1864
PAY,Payerne,VD,490.0,46.811581,6.942469,1964
RAG,Bad Ragaz,SG,497.0,47.016631,9.502594,1864
SAE,Säntis,AI,2501.0,47.249447,9.343469,1864
SAM,Samedan,GR,1709.0,46.526247,9.879469,1864
SBE,S. Bernardino,GR,1639.0,46.463542,9.1847,1864
SIA,Segl-Maria,GR,1804.0,46.432331,9.762325,1863
SIO,Sion,VS,482.0,46.21865,7.330203,1864
SMA,Zürich / Fluntern,ZH,604.0,47.381003,8.567194,1864
STG,St. Gallen,SG,776.0,47.425475,9.398528,1864
