station,annee,parametre,jour_annee
ABT,1960,mtusf65d,35
ABT,1961,mtusf65d,35
ABT,1975,mtusf65d,89
ABT,1976,mtusf65d,94
ABT,1977,mtusf65d,100
ABT,1978,mtusf65d,89
ABT,1979,mtusf65d,94
ABT,1980,mtusf65d,94
ABT,1981,mtusf65d,101
ABT,1982,mtusf65d,100
ABT,1983,mtusf65d,99
ABT,1984,mtusf65d,96
ABT,1985,mtusf65d,73
ABT,2002,mtusf65d,64
ABT,2003,mtusf65d,76
ABT,2004,mtusf65d,52
ABT,2006,mtusf65d,84
ABT,2007,mtusf65d,63
ABT,2008,mtusf65d,60
ABT,2009,mtusf65d,86
ABT,2010,mtusf65d,82
ABT,2011,mtusf65d,64
ABT,2012,mtusf65d,63
ABT,2013,mtusf65d,80
ABT,2014,mtusf65d,50
ABT,2015,mtusf65d,71
ABT,2018,mtusf65d,73
ABT,2019,mtusf65d,69
ABT,2020,mtusf65d,75
ABT,2022,mtusf65d,76
ABT,2023,mtusf65d,72
ABT,2024,mtusf65d,68
ABT,2025,mtusf65d,56
ABT,1956,manen65d,122
ABT,1957,manen65d,115
ABT,1958,manen65d,79
ABT,1959,manen65d,93
ABT,1960,manen65d,64
ABT,1961,manen65d,96
ABT,1962,manen65d,110
ABT,1963,manen65d,116
ABT,1964,manen65d,93
ABT,1965,manen65d,85
ABT,1966,manen65d,74
ABT,1967,manen65d,51
ABT,1968,manen65d,59
ABT,1969,manen65d,60
ABT,1970,manen65d,84
ABT,1971,manen65d,79
ABT,1972,manen65d,78
ABT,1973,manen65d,96
ABT,1974,manen65d,81
ABT,1975,manen65d,100
ABT,1976,manen65d,90
ABT,1977,manen65d,80
ABT,1978,manen65d,80
ABT,1979,manen65d,61
ABT,1980,manen65d,77
ABT,1981,manen65d,89
ABT,1982,manen65d,65
ABT,1983,manen65d,100
ABT,1984,manen65d,77
ABT,1985,manen65d,75
ABT,1991,manen65d,64
ABT,1992,manen65d,70
ABT,1993,manen65d,65
ABT,1994,manen65d,64
ABT,1995,manen65d,89
ABT,1996,manen65d,88
ABT,1998,manen65d,56
ABT,1999,manen65d,71
ABT,2000,manen65d,96
ABT,2002,manen65d,78
ABT,2003,manen65d,89
ABT,2006,manen65d,111
ABT,2007,manen65d,91
ABT,2008,manen65d,95
ABT,2009,manen65d,96
ABT,2010,manen65d,100
ABT,2011,manen65d,88
ABT,2012,manen65d,87
ABT,2013,manen65d,106
ABT,2014,manen65d,79
ABT,2015,manen65d,90
ABT,2016,manen65d,94
ABT,2018,manen65d,102
ABT,2019,manen65d,98
ABT,2020,manen65d,80
ABT,2021,manen65d,92
ABT,2022,manen65d,88
ABT,2023,manen65d,92
ABT,2024,manen65d,79
ABT,2025,manen65d,86
ABT,2026,manen65d,75
ABT,1956,mtaro65d,119
ABT,1957,mtaro65d,91
ABT,1958,mtaro65d,87
ABT,1959,mtaro65d,91
ABT,1960,mtaro65d,75
ABT,1961,mtaro65d,89
ABT,1962,mtaro65d,122
ABT,1963,mtaro65d,135
ABT,1964,mtaro65d,107
ABT,1965,mtaro65d,93
ABT,1967,mtaro65d,89
ABT,1968,mtaro65d,103
ABT,1969,mtaro65d,114
ABT,1970,mtaro65d,123
ABT,1971,mtaro65d,108
ABT,1972,mtaro65d,127
ABT,1973,mtaro65d,120
ABT,1974,mtaro65d,93
ABT,1975,mtaro65d,100
ABT,1976,mtaro65d,102
ABT,1977,mtaro65d,94
ABT,1978,mtaro65d,110
ABT,1979,mtaro65d,110
ABT,1980,mtaro65d,94
ABT,1981,mtaro65d,100
ABT,1982,mtaro65d,99
ABT,1983,mtaro65d,108
ABT,1984,mtaro65d,116
ABT,1985,mtaro65d,110
ABT,1987,mtaro65d,103
ABT,1988,mtaro65d,109
ABT,1989,mtaro65d,118
ABT,1990,mtaro65d,79
ABT,1991,mtaro65d,96
ABT,1992,mtaro65d,108
ABT,1993,mtaro65d,114
ABT,1994,mtaro65d,88
ABT,1995,mtaro65d,120
ABT,1996,mtaro65d,113
ABT,1997,mtaro65d,118
ABT,1998,mtaro65d,97
ABT,1999,mtaro65d,109
ABT,2000,mtaro65d,123
ABT,2001,mtaro65d,100
ABT,2002,mtaro65d,103
ABT,2003,mtaro65d,103
ABT,2004,mtaro65d,116
ABT,2005,mtaro65d,119
ABT,2006,mtaro65d,113
ABT,2007,mtaro65d,104
ABT,2008,mtaro65d,103
ABT,2009,mtaro65d,104
ABT,2010,mtaro65d,108
ABT,2011,mtaro65d,98
ABT,2012,mtaro65d,97
ABT,2013,mtaro65d,113
ABT,2014,mtaro65d,94
ABT,2015,mtaro65d,107
ABT,2016,mtaro65d,103
ABT,2017,mtaro65d,91
ABT,2018,mtaro65d,109
ABT,2019,mtaro65d,94
