parametre,libelle,saison
mtusf65d,Tussilage — floraison,printemps
manen65d,Anémone des bois — floraison,printemps
mtaro65d,Pissenlit — floraison,printemps
mprua65d,Cerisier — pleine floraison,printemps
mmald65d,Pommier — pleine floraison,printemps
mfags13d,Hêtre — déploiement des feuilles,printemps
maesh13d,Marronnier — déploiement des feuilles,printemps
mcora60d,Noisetier — début de floraison,printemps
mvitv65d,Vigne — floraison,été
mhayxhsd,Fenaison — début,été
mvitv89d,Vigne — vendanges,automne
mfags94d,Hêtre — coloration des feuilles,automne
maesh94d,Marronnier — coloration des feuilles,automne
mlard94d,Mélèze — coloration des aiguilles,automne
