station,nom,canton,altitude,lat,lon
ABT,L'Abergement,VD,660.0,46.756178,6.490211
ADB,Adelboden,BE,1350.0,46.492022,7.561067
ALC,Alchenflüh,BE,513.0,47.079619,7.5848
ALD,Altdorf,UR,470.0,46.872614,8.658569
ANC,Altanca,TI,1419.0,46.521914,8.687644
ANR,Andeer,GR,985.0,46.600961,9.422614
APL,Appenzell,AI,775.0,47.331994,9.415403
ARS,Arosa,GR,1900.0,46.776467,9.664847
AUR,Aurigeno / Ronchini,TI,350.0,46.236078,8.725292
AZM,Azmoos,SG,480.0,47.076869,9.479753
BAB,Basel / Binningen,BL,315.0,47.548594,7.582372
BAE,Ballens,VD,700.0,46.554378,6.374472
BEL,Bellelay,BE,930.0,47.265314,7.165786
BID,Birmensdorf,ZH,500.0,47.342472,8.444342
BLO,Blonay,VD,600.0,46.464014,6.891869
BNN,Biel,BE,490.0,47.151194,7.254139
BOD,"Bondo, GR",GR,825.0,46.337594,9.555908
BOY,Boudry,NE,450.0,46.949492,6.834386
BPI,Brusio,GR,850.0,46.265447,10.115375
BUA,Bauma,ZH,640.0,47.364822,8.881672
BUH,"Buchs, SG",SG,450.0,47.158028,9.469656
BVI,La Brévine,NE,1050.0,46.982014,6.599133
CAR,Cartigny,GE,400.0,46.177483,6.014089
CAS,Casaccia,GR,1460.0,46.389556,9.661978
CDO,Chardonne,VD,500.0,46.474036,6.835272
CEC,Cevio,TI,430.0,46.315447,8.598925
CER,Cernier / Le Pâquier,NE,900.0,47.098392,6.986644
CHI,Nyon / Changins,VD,435.0,46.395917,6.229419
CHR,Chur,GR,640.0,46.868244,9.5419
CHT,Chaumont,NE,1150.0,47.049108,6.978031
COE,Couvet,NE,750.0,46.9213,6.637761
DAD,Davos,GR,1560.0,46.808986,9.836586
DIH,Diessenhofen,TG,410.0,47.690281,8.744
DIL,Les Diablerets,VD,1100.0,46.355131,7.118014
DOM,Domat / Ems,GR,580.0,46.834311,9.457442
DOR,Dornach,SO,300.0,47.481642,7.611114
DOT,Döttingen,AG,350.0,47.568867,8.249947
DST,Disentis,GR,1200.0,46.699461,8.850803
EBO,Eschen,FL,580.0,47.218989,9.520044
EBU,Ennetbühl,SG,900.0,47.243314,9.208661
ECD,Echandens,VD,422.0,46.537211,6.543094
EDB,Edlibach,ZG,750.0,47.179358,8.573208
EHT,Escholzmatt,LU,910.0,46.898653,7.932344
EIS,Einsiedeln,SZ,910.0,47.131972,8.748844
ELA,Estavayer-le-Lac,FR,450.0,46.841619,6.848706
ELP,Elm,GL,1000.0,46.921942,9.172731
ENB,Entlebuch,LU,765.0,46.987397,8.068953
ENS,Enges,NE,820.0,47.056436,7.012192
FAN,Fanas,GR,910.0,46.983531,9.660289
FDO,Faido,TI,715.0,46.477881,8.800878
FFE,Frauenfeld,TG,405.0,47.560647,8.887883
FIS,Fiesch,VS,1100.0,46.400261,8.127792
FWI,Flawil,SG,630.0,47.415283,9.182167
GAM,Gadmen,BE,1205.0,46.736853,8.351842
GDW,Grossdietwil,LU,610.0,47.166089,7.887067
GLI,Grellingen,BL,350.0,47.441186,7.597728
GON,Gryon,VD,1100.0,46.274817,7.065661
GRU,Grüsch,GR,650.0,46.983786,9.64715
GST,Gstaad,BE,1258.0,46.504506,7.298197
GUD,Gundetswil,ZH,460.0,47.536489,8.819919
HBW,Weinfelden,TG,450.0,47.567569,9.125747
HED,Heiden,AR,800.0,47.442925,9.533178
HLU,Hallau,SH,430.0,47.698183,8.457489
HOC,Hochdorf,LU,490.0,47.166514,8.28935
HOF,Höfen,BE,720.0,46.717125,7.569428
HOR,Horgen,ZH,450.0,47.265269,8.582169
HYB,Hoch-Ybrig,SZ,1500.0,47.0132,8.7833
HZB,Herzogenbuchsee,BE,450.0,47.18465,7.702511
JEN,Jenaz,GR,800.0,46.928553,9.710558
JET,Jegenstorf II,BE,525.0,47.049108,7.507072
KAN,Kandersteg,BE,1175.0,46.495636,7.671325
LAG,Langnau i.E.,BE,744.0,46.939633,7.806425
LAW,Lanterswil,TG,570.0,47.514847,9.098194
LBU,Laufenburg,AG,330.0,47.561031,8.063136
LCN,Locarno,TI,200.0,46.169278,8.798214
LET,Leytron,VS,480.0,46.18625,7.21845
LEY,Leysin,VD,1250.0,46.340108,7.009622
LEZ,Lenzerheide,GR,1500.0,46.727106,9.548903
LID,Liddes,VS,1350.0,45.988267,7.180528
LIN,Linthal,GL,695.0,46.915883,8.993658
LIT,Liestal,BL,350.0,47.481403,7.730519
LLU,Lü,GR,1933.0,46.623633,10.368686
LOG,Longirod,VD,900.0,46.498772,6.26595
LOL,Le Locle,NE,1020.0,47.047992,6.754314
LOM,Locarno / Monti,TI,370.0,46.172556,8.787417
LPM,Les Ponts-de-Martel,NE,1120.0,47.002858,6.728592
LZE,Luzern,LU,580.0,47.062769,8.342442
MDN,Moudon / Syens,VD,600.0,46.646331,6.777689
MEG,Meiringen / Brünigen,BE,900.0,46.75275,8.137867
MEH,Merishausen,SH,540.0,47.763636,8.612414
MGN,Mugena,TI,784.0,46.046497,8.888964
MIG,Mellingen,AG,356.0,47.420981,8.273286
MOG,Morgins,VS,1380.0,46.2415,6.850589
MOI,Möhlin,AG,305.0,47.561983,7.850547
MOT,Dongio,TI,500.0,46.442531,8.950197
MRI,"Muri, AG",AG,550.0,47.265317,8.332283
MTI,Moutier,BE,530.0,47.279386,7.385775
MTN,Martina,GR,1050.0,46.884997,10.464608
MTS,Mont-Soleil,BE,1200.0,47.161608,6.992892
MUG,Murg,SG,500.0,47.108222,9.217372
NAF,Näfels,GL,440.0,47.092389,9.071936
NEC,Neuchâtel,NE,550.0,47.000444,6.935714
NHA,Neuhausen,SH,435.0,47.681939,8.615533
OBO,Orbe,VD,485.0,46.722633,6.536061
OES,Koppigen / Oeschberg,BE,485.0,47.126578,7.613264
OHD,Ehrendingen,AG,490.0,47.489078,8.340994
OLG,Oberlangenegg,BE,910.0,46.808222,7.716267
ORV,Orvin,BE,700.0,47.157753,7.214464
OSO,Osogna,TI,276.0,46.311967,8.987064
OST,Osterfingen,SH,410.0,47.656878,8.490242
OVO,Olivone,TI,894.0,46.527333,8.932936
PAY,Payerne,VD,490.0,46.811581,6.942469
PLB,Les Plans-sur-Bex,VD,1100.0,46.256639,7.092033
POA,Pontresina,GR,1780.0,46.492622,9.900761
POS,Posieux,FR,680.0,46.761672,7.098294
PSO,Prato-Sornico,TI,750.0,46.394025,8.655608
PST,"Stein, AR II",AR,825.0,47.381969,9.348772
RAC,Rancate,TI,353.0,45.870208,8.967242
RAF,Rafz,ZH,515.0,47.620414,8.542733
RAW,Raperswilen,TG,595.0,47.632486,9.048642
RCH,"Reinach, BL",BL,303.0,47.493131,7.589494
RFR,"Ried, Frutigen",BE,1090.0,46.570078,7.619381
RGS,Les Rangiers,JU,865.0,47.381992,7.215775
RON,Romanshorn,TG,405.0,47.563608,9.376172
ROR,Rorschach,SG,450.0,47.472492,9.494931
SBD,S. Bernardino,GR,1625.0,46.462442,9.189539
SCL,Scuol,GR,1240.0,46.794394,10.296356
SCR,Schiers,GR,800.0,46.965036,9.685814
SCW,Schönenwerd,SO,450.0,47.365283,7.999019
SEL,Seewil,BE,560.0,47.048228,7.409689
SEN,Sent,GR,1440.0,46.815436,10.335078
SEO,Seon,AG,550.0,47.338319,8.153353
SEW,Seewis Dorf,GR,960.0,46.990281,9.635636
SGO,Sagno,TI,670.0,45.857811,9.033789
SGS,Sargans II,SG,480.0,47.050589,9.439256
SID,Simplon-Dorf,VS,1475.0,46.195022,8.056794
SIG,Sihlbrugg,ZG,480.0,47.219356,8.5767
SLN,Silenen,UR,510.0,46.782531,8.669625
SLU,St. Luc,VS,1650.0,46.222336,7.594153
SMO,St. Moritz,GR,1800.0,46.497708,9.839739
SNN,Sarnen,OW,500.0,46.894217,8.252236
SPP,Stampa,GR,1000.0,46.34585,9.595214
STG,St. Gallen,SG,776.0,47.425475,9.398528
STM,"Sta. Maria, Val Müstair",GR,1390.0,46.603092,10.421956
THE,Therwil,BL,310.0,47.499697,7.558086
TRT,Trient,VS,1300.0,46.048003,6.993797
TUS,Thusis,GR,700.0,46.709511,9.44165
UNT,Unterseen,BE,600.0,46.689794,7.835233
VAS,Vals,GR,1250.0,46.622889,9.182461
VEG,Vergeletto,TI,1100.0,46.225417,8.605172
VES,Versoix,GE,440.0,46.290431,6.137128
VIL,Villnachern,AG,415.0,47.470556,8.154928
VIP,Visp,VS,650.0,46.293494,7.892842
VIR,"Vira, Gambarogno",TI,210.0,46.143428,8.841697
VOR,Vallorbe,VD,850.0,46.712292,6.379286
VSA,La Valsainte,FR,1050.0,46.648728,7.182475
WAD,Wädenswil,ZH,480.0,47.223239,8.679778
WAL,"Wald, ZH",ZH,620.0,47.277122,8.916314
WAT,Wattwil,SG,625.0,47.289853,9.104422
WEG,Wengen,BE,1300.0,46.603731,7.921556
WEK,Wetzikon,ZH,555.0,47.320664,8.814333
WIB,Wiliberg,AG,650.0,47.269422,8.021369
WIH,Wildhaus,SG,1100.0,47.205022,9.352617
WIL,"Wil, SG",SG,600.0,47.461458,9.056733
WOL,Wolhusen,LU,580.0,47.064342,8.071028
WOR,Worb,BE,600.0,46.924433,7.577772
WTH,Winterthur / Eidberg,ZH,580.0,47.474228,8.795444
WYA,Wynau,BE,450.0,47.256317,7.808556
ZAL,Zürich / Albisgüetli,ZH,530.0,47.350869,8.510678
