canton,annee,population
Suisse,1971,6233744
Zürich,1971,1099732
Bern / Berne,1971,913187
Luzern,1971,289900
Uri,1971,33466
Schwyz,1971,92028
Obwalden,1971,24677
Nidwalden,1971,25592
Glarus,1971,37583
Zug,1971,68912
Fribourg / Freiburg,1971,180316
Solothurn,1971,222073
Basel-Stadt,1971,230356
Basel-Landschaft,1971,203237
Schaffhausen,1971,72081
Appenzell Ausserrhoden,1971,48286
Appenzell Innerrhoden,1971,12961
St. Gallen,1971,382224
Graubünden / Grigioni / Grischun,1971,157184
Aargau,1971,430611
Thurgau,1971,180618
Ticino,1971,247175
Vaud,1971,511085
Valais / Wallis,1971,203743
Neuchâtel,1971,167222
Genève,1971,332595
Jura,1971,66900
Suisse,1972,6288168
Zürich,1972,1110395
Bern / Berne,1972,917409
Luzern,1972,292092
Uri,1972,33672
Schwyz,1972,93097
Obwalden,1972,24862
Nidwalden,1972,25941
Glarus,1972,37542
Zug,1972,70029
Fribourg / Freiburg,1972,181915
Solothurn,1972,223086
Basel-Stadt,1972,229264
Basel-Landschaft,1972,207187
Schaffhausen,1972,72198
Appenzell Ausserrhoden,1972,48324
Appenzell Innerrhoden,1972,13031
St. Gallen,1972,385087
Graubünden / Grigioni / Grischun,1972,158204
Aargau,1972,436261
Thurgau,1972,182091
Ticino,1972,252078
Vaud,1972,516996
Valais / Wallis,1972,207237
Neuchâtel,1972,167121
Genève,1972,335973
Jura,1972,67076
Suisse,1973,6326525
Zürich,1973,1119276
Bern / Berne,1973,920370
Luzern,1973,293814
Uri,1973,33903
Schwyz,1973,94142
Obwalden,1973,25057
Nidwalden,1973,26320
Glarus,1973,37648
Zug,1973,71149
Fribourg / Freiburg,1973,183106
Solothurn,1973,223036
Basel-Stadt,1973,227059
Basel-Landschaft,1973,211201
Schaffhausen,1973,72047
Appenzell Ausserrhoden,1973,48187
Appenzell Innerrhoden,1973,13004
St. Gallen,1973,387960
Graubünden / Grigioni / Grischun,1973,158950
Aargau,1973,441650
Thurgau,1973,184108
Ticino,1973,253423
Vaud,1973,516318
Valais / Wallis,1973,210538
Neuchâtel,1973,167533
Genève,1973,339541
Jura,1973,67185
Suisse,1974,6356285
Zürich,1974,1124225
Bern / Berne,1974,922882
Luzern,1974,295017
Uri,1974,34020
Schwyz,1974,94800
Obwalden,1974,25233
Nidwalden,1974,26651
Glarus,1974,37556
Zug,1974,72093
Fribourg / Freiburg,1974,184654
Solothurn,1974,223564
Basel-Stadt,1974,224297
Basel-Landschaft,1974,213956
Schaffhausen,1974,71853
Appenzell Ausserrhoden,1974,47984
Appenzell Innerrhoden,1974,13003
St. Gallen,1974,390179
Graubünden / Grigioni / Grischun,1974,159677
Aargau,1974,445500
Thurgau,1974,184705
Ticino,1974,255746
Vaud,1974,519608
